Postcode,Population,Median Age,Household Income,Race White,City,State,State Population Rank,Starbucks Count
11730.0,14066.0,41.9,115402.0,13703.0,EAST ISLIP,NY,4.0,645
11730.0,14066.0,41.9,115402.0,13703.0,E ISLIP,NY,4.0,645
79783.0,281.0,37.6,115417.0,281.0,TARZAN,TX,2.0,1042
78015.0,11001.0,44.4,116647.0,9985.0,BOERNE,TX,2.0,1042
78015.0,11001.0,44.4,116647.0,9985.0,FAIR OAKS,TX,2.0,1042
78015.0,11001.0,44.4,116647.0,9985.0,FAIR OAKS RANCH,TX,2.0,1042
10594.0,5172.0,40.4,116950.0,4688.0,THORNWOOD,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,OYSTER BAY,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,CENTRE ISLAND,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,COVE NECK,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,LAUREL HOLLOW,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,MUTTONTOWN,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,OYSTER BAY COVE,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,UPPER BROOKVILLE,NY,4.0,645
94555.0,36693.0,37.0,118623.0,6943.0,FREMONT,CA,1.0,2821
11804.0,4757.0,44.2,118900.0,4417.0,OLD BETHPAGE,NY,4.0,645
11804.0,4757.0,44.2,118900.0,4417.0,HICKSVILLE,NY,4.0,645
10567.0,20741.0,43.8,119521.0,16430.0,CORTLANDT MANOR,NY,4.0,645
10567.0,20741.0,43.8,119521.0,16430.0,CORTLANDT MNR,NY,4.0,645
10986.0,1836.0,40.3,119671.0,1759.0,TOMKINS COVE,NY,4.0,645
